Start  Time: 2024/01/11, 22:45:21.599
Export Time: 2024/01/11, 22:45:30.895
Min  (dBA):   84.3
Max  (dBA):   87.9
Peak (dBA):   94.1
Avg  (dBA):   85.9
TWA  (dBA):   58.7
Dose (%):    0.2

Recorded Value (dBA),Response Time (seconds)
86.1,0.2
86.4,0.2
85.9,0.2
85.3,0.2
85.8,0.2
85.3,0.2
85.2,0.2
85.6,0.2
85.3,0.2
85.6,0.2
85.7,0.2
85.8,0.2
85.6,0.2
85.5,0.2
85.8,0.2
85.7,0.2
85.6,0.2
85.8,0.2
86.2,0.2
85.9,0.2
86.1,0.2
86.2,0.2
86.6,0.2
86.5,0.2
86.4,0.2
86.1,0.2
86.2,0.2
85.8,0.2
85.5,0.2
85.4,0.2
85.6,0.2
85.8,0.2
85.5,0.2
84.8,0.2
85.7,0.2
85.7,0.2
85.2,0.2
86.0,0.2
85.7,0.2
85.3,0.2
85.3,0.2
85.4,0.2
85.1,0.2
85.3,0.2
86.2,0.2
86.0,0.2
84.9,0.2
85.3,0.2
85.2,0.2
85.7,0.2
85.8,0.2
85.5,0.2
85.7,0.2
85.9,0.2
85.7,0.2
85.9,0.2
86.2,0.2
86.2,0.2
85.8,0.2
85.7,0.2
85.4,0.2
85.3,0.2
85.3,0.2
85.9,0.2
85.3,0.2
85.3,0.2
85.5,0.2
85.4,0.2
85.4,0.2
85.7,0.2
85.7,0.2
86.0,0.2
85.2,0.2
84.9,0.2
84.7,0.2
85.9,0.2
85.8,0.2
84.9,0.2
85.4,0.2
85.5,0.2
85.5,0.2
85.5,0.2
85.5,0.2
86.0,0.2
85.4,0.2
85.1,0.2
85.5,0.2
86.1,0.2
85.4,0.2
84.9,0.2
85.2,0.2
86.1,0.2
85.5,0.2
84.8,0.2
85.6,0.2
86.0,0.2
85.1,0.2
85.2,0.2
85.1,0.2
85.2,0.2
85.2,0.2
85.1,0.2
85.4,0.2
86.5,0.2
85.7,0.2
85.2,0.2
85.2,0.2
85.9,0.2
85.4,0.2
85.2,0.2
85.7,0.2
85.2,0.2
85.8,0.2
85.6,0.2
85.6,0.2
85.4,0.2
85.7,0.2
85.7,0.2
85.3,0.2
85.0,0.2
86.1,0.2
85.6,0.2
85.4,0.2
85.0,0.2
85.6,0.2
85.7,0.2
85.3,0.2
84.9,0.2
85.7,0.2
85.9,0.2
84.9,0.2
85.3,0.2
85.7,0.2
85.9,0.2
85.7,0.2
85.7,0.2
86.2,0.2
87.1,0.2
86.5,0.2
86.8,0.2
87.2,0.2
86.7,0.2
87.3,0.2
86.9,0.2
87.4,0.2
87.0,0.2
87.3,0.2
85.9,0.2
85.4,0.2
84.8,0.2
84.3,0.2
84.6,0.2
84.9,0.2
84.6,0.2
85.0,0.2
85.7,0.2
84.7,0.2
85.8,0.2
85.4,0.2
85.0,0.2
85.4,0.2
85.3,0.2
85.8,0.2
85.5,0.2
85.9,0.2
85.7,0.2
86.1,0.2
86.2,0.2
86.2,0.2
86.0,0.2
86.2,0.2
86.2,0.2
86.4,0.2
85.9,0.2
86.4,0.2
86.6,0.2
86.2,0.2
85.8,0.2
86.3,0.2
86.0,0.2
86.5,0.2
86.2,0.2
86.0,0.2
86.1,0.2
85.9,0.2
85.8,0.2
86.0,0.2
86.7,0.2
86.5,0.2
86.3,0.2
86.5,0.2
86.6,0.2
87.0,0.2
86.5,0.2
86.9,0.2
86.7,0.2
86.5,0.2
87.3,0.2
86.7,0.2
87.2,0.2
87.0,0.2
87.2,0.2
87.5,0.2
86.6,0.2
87.2,0.2
86.6,0.2
86.2,0.2
86.8,0.2
86.2,0.2
86.0,0.2
86.0,0.2
86.6,0.2
86.5,0.2
86.3,0.2
86.0,0.2
86.2,0.2
86.3,0.2
86.6,0.2
86.5,0.2
86.1,0.2
86.4,0.2
86.4,0.2
86.1,0.2
85.8,0.2
86.0,0.2
85.7,0.2
85.8,0.2
86.1,0.2
86.3,0.2
86.1,0.2
86.1,0.2
86.1,0.2
85.9,0.2
85.5,0.2
86.0,0.2
86.0,0.2
85.8,0.2
86.3,0.2
86.3,0.2
86.0,0.2
86.3,0.2
85.8,0.2
85.9,0.2
86.1,0.2
87.9,0.2
86.1,0.2
86.2,0.2
85.9,0.2
86.0,0.2
85.8,0.2
86.0,0.2
86.2,0.2
86.4,0.2
86.4,0.2
85.9,0.2
86.1,0.2
86.5,0.2
87.9,0.2
85.9,0.2
86.0,0.2
86.0,0.2
85.9,0.2
86.4,0.2
86.6,0.2
86.2,0.2
85.9,0.2
86.2,0.2
86.6,0.2
86.4,0.2
86.0,0.2
86.3,0.2
86.6,0.2
86.3,0.2
85.7,0.2
85.9,0.2
86.2,0.2
86.0,0.2
86.0,0.2
86.2,0.2
85.8,0.2
85.8,0.2
86.1,0.2
86.6,0.2
86.4,0.2
