Start  Time: 2024/01/11, 22:45:21.599
Export Time: 2024/01/11, 22:49:37.146
Min  (dBA):   86.1
Max  (dBA):   89.3
Peak (dBA):   93.1
Avg  (dBA):   87.8
TWA  (dBA):   60.8
Dose (%):    0.4

Recorded Value (dBA),Response Time (seconds)
86.1,0.2
86.9,0.2
86.4,0.2
86.9,0.2
86.6,0.2
86.7,0.2
86.4,0.2
86.6,0.2
87.0,0.2
87.4,0.2
88.5,0.2
88.0,0.2
88.1,0.2
88.1,0.2
88.0,0.2
88.2,0.2
88.6,0.2
88.5,0.2
88.6,0.2
88.6,0.2
88.5,0.2
89.2,0.2
88.8,0.2
88.9,0.2
88.9,0.2
89.1,0.2
88.7,0.2
88.9,0.2
89.0,0.2
87.9,0.2
88.2,0.2
87.7,0.2
88.0,0.2
88.3,0.2
88.0,0.2
87.8,0.2
88.1,0.2
88.0,0.2
87.7,0.2
87.9,0.2
87.6,0.2
87.8,0.2
87.8,0.2
87.9,0.2
87.8,0.2
87.8,0.2
87.8,0.2
87.8,0.2
88.2,0.2
87.5,0.2
87.7,0.2
88.2,0.2
88.1,0.2
87.8,0.2
87.8,0.2
87.4,0.2
87.9,0.2
88.0,0.2
87.8,0.2
88.0,0.2
87.8,0.2
87.4,0.2
87.5,0.2
87.4,0.2
87.8,0.2
87.8,0.2
87.4,0.2
87.1,0.2
88.0,0.2
87.7,0.2
87.7,0.2
88.0,0.2
87.9,0.2
88.1,0.2
87.8,0.2
87.8,0.2
87.6,0.2
87.4,0.2
88.2,0.2
87.9,0.2
87.2,0.2
87.1,0.2
86.9,0.2
87.0,0.2
86.8,0.2
87.7,0.2
87.2,0.2
87.0,0.2
87.4,0.2
87.2,0.2
87.6,0.2
87.8,0.2
88.2,0.2
87.4,0.2
87.9,0.2
87.3,0.2
87.6,0.2
87.9,0.2
87.9,0.2
87.9,0.2
87.8,0.2
87.7,0.2
87.6,0.2
87.5,0.2
87.8,0.2
87.7,0.2
88.0,0.2
87.9,0.2
87.5,0.2
87.3,0.2
87.5,0.2
88.0,0.2
87.6,0.2
87.4,0.2
87.2,0.2
86.9,0.2
87.5,0.2
87.3,0.2
87.3,0.2
87.3,0.2
87.5,0.2
87.3,0.2
87.1,0.2
87.5,0.2
87.6,0.2
87.4,0.2
86.8,0.2
87.2,0.2
87.6,0.2
87.4,0.2
87.5,0.2
87.7,0.2
87.3,0.2
87.3,0.2
87.7,0.2
87.4,0.2
87.2,0.2
87.2,0.2
87.4,0.2
87.6,0.2
87.7,0.2
88.1,0.2
87.4,0.2
87.6,0.2
87.4,0.2
87.5,0.2
87.3,0.2
87.3,0.2
87.9,0.2
87.7,0.2
87.5,0.2
87.5,0.2
87.8,0.2
87.5,0.2
87.6,0.2
88.0,0.2
87.3,0.2
87.6,0.2
87.7,0.2
87.2,0.2
87.2,0.2
87.6,0.2
87.6,0.2
87.1,0.2
87.6,0.2
87.5,0.2
86.7,0.2
87.3,0.2
87.3,0.2
87.7,0.2
88.2,0.2
87.1,0.2
87.0,0.2
86.5,0.2
86.8,0.2
87.1,0.2
87.2,0.2
87.1,0.2
86.7,0.2
87.0,0.2
86.8,0.2
86.9,0.2
87.1,0.2
87.4,0.2
86.6,0.2
86.7,0.2
86.8,0.2
86.4,0.2
86.7,0.2
86.8,0.2
86.5,0.2
86.9,0.2
87.3,0.2
86.9,0.2
86.8,0.2
87.2,0.2
86.5,0.2
86.4,0.2
86.8,0.2
86.8,0.2
86.8,0.2
86.9,0.2
87.5,0.2
86.8,0.2
86.6,0.2
86.6,0.2
86.2,0.2
86.6,0.2
86.9,0.2
86.9,0.2
87.2,0.2
87.6,0.2
87.8,0.2
88.4,0.2
88.8,0.2
88.8,0.2
88.6,0.2
88.5,0.2
88.8,0.2
88.5,0.2
88.5,0.2
89.1,0.2
88.2,0.2
88.0,0.2
87.9,0.2
88.0,0.2
88.0,0.2
87.9,0.2
88.0,0.2
87.9,0.2
88.5,0.2
88.6,0.2
88.4,0.2
88.7,0.2
88.8,0.2
88.7,0.2
88.4,0.2
88.9,0.2
88.4,0.2
88.2,0.2
88.6,0.2
88.2,0.2
88.2,0.2
88.2,0.2
88.2,0.2
88.3,0.2
88.0,0.2
88.7,0.2
88.5,0.2
88.0,0.2
88.1,0.2
88.6,0.2
88.4,0.2
88.5,0.2
88.9,0.2
88.6,0.2
88.9,0.2
88.9,0.2
88.5,0.2
88.8,0.2
88.7,0.2
88.5,0.2
89.0,0.2
88.2,0.2
88.9,0.2
88.8,0.2
88.3,0.2
88.7,0.2
88.4,0.2
88.9,0.2
88.1,0.2
88.4,0.2
88.4,0.2
88.3,0.2
88.4,0.2
88.7,0.2
88.5,0.2
89.3,0.2
88.7,0.2
88.5,0.2
88.6,0.2
88.2,0.2
88.6,0.2
88.0,0.2
