Start  Time: 2024/01/11, 22:45:21.599
Export Time: 2024/01/11, 22:54:41.051
Min  (dBA):   88.7
Max  (dBA):   100.5
Peak (dBA):   110.0
Avg  (dBA):   90.8
TWA  (dBA):   64.1
Dose (%):    0.8

Recorded Value (dBA),Response Time (seconds)
89.1,0.2
90.8,0.2
91.3,0.2
91.1,0.2
90.6,0.2
91.4,0.2
91.0,0.2
91.8,0.2
91.2,0.2
91.3,0.2
91.0,0.2
91.9,0.2
91.1,0.2
90.9,0.2
91.4,0.2
91.7,0.2
91.4,0.2
91.7,0.2
91.0,0.2
91.6,0.2
92.1,0.2
91.0,0.2
91.4,0.2
91.9,0.2
91.2,0.2
91.6,0.2
90.5,0.2
90.1,0.2
90.1,0.2
90.4,0.2
89.3,0.2
89.3,0.2
89.7,0.2
89.4,0.2
89.4,0.2
89.1,0.2
89.8,0.2
89.0,0.2
89.0,0.2
89.8,0.2
89.4,0.2
89.2,0.2
89.6,0.2
89.7,0.2
90.4,0.2
89.6,0.2
89.7,0.2
89.6,0.2
89.7,0.2
89.8,0.2
89.6,0.2
90.1,0.2
89.8,0.2
89.6,0.2
90.1,0.2
89.7,0.2
89.7,0.2
89.7,0.2
90.3,0.2
89.3,0.2
90.1,0.2
90.3,0.2
90.4,0.2
90.4,0.2
90.1,0.2
90.7,0.2
91.9,0.2
91.0,0.2
91.0,0.2
90.1,0.2
90.4,0.2
89.3,0.2
89.6,0.2
89.6,0.2
89.8,0.2
89.3,0.2
90.8,0.2
88.8,0.2
89.8,0.2
90.1,0.2
89.0,0.2
90.7,0.2
90.1,0.2
90.9,0.2
89.0,0.2
91.2,0.2
89.5,0.2
89.2,0.2
90.0,0.2
89.3,0.2
89.6,0.2
90.7,0.2
91.9,0.2
88.7,0.2
89.2,0.2
90.2,0.2
89.7,0.2
89.1,0.2
90.7,0.2
89.4,0.2
89.8,0.2
89.3,0.2
90.3,0.2
89.2,0.2
90.0,0.2
90.5,0.2
89.5,0.2
91.6,0.2
90.4,0.2
91.9,0.2
90.1,0.2
90.8,0.2
93.2,0.2
89.4,0.2
94.8,0.2
91.3,0.2
91.8,0.2
91.0,0.2
91.7,0.2
90.0,0.2
90.7,0.2
90.8,0.2
90.9,0.2
90.0,0.2
89.9,0.2
91.2,0.2
89.5,0.2
89.5,0.2
90.4,0.2
89.7,0.2
90.5,0.2
91.1,0.2
89.7,0.2
91.8,0.2
90.4,0.2
91.0,0.2
90.4,0.2
90.0,0.2
90.4,0.2
91.4,0.2
90.7,0.2
91.4,0.2
89.9,0.2
90.2,0.2
90.3,0.2
89.6,0.2
91.5,0.2
89.2,0.2
90.3,0.2
90.3,0.2
90.2,0.2
89.6,0.2
90.0,0.2
90.1,0.2
89.9,0.2
89.4,0.2
91.6,0.2
89.5,0.2
90.6,0.2
89.7,0.2
91.0,0.2
90.6,0.2
91.2,0.2
91.2,0.2
90.6,0.2
90.8,0.2
90.7,0.2
91.0,0.2
90.0,0.2
91.3,0.2
93.0,0.2
91.9,0.2
90.2,0.2
90.8,0.2
90.9,0.2
89.9,0.2
91.7,0.2
89.9,0.2
91.3,0.2
90.0,0.2
90.8,0.2
89.9,0.2
92.9,0.2
90.7,0.2
90.9,0.2
90.3,0.2
90.4,0.2
90.7,0.2
92.7,0.2
91.6,0.2
90.7,0.2
91.9,0.2
90.7,0.2
92.0,0.2
91.6,0.2
90.5,0.2
91.0,0.2
90.8,0.2
90.4,0.2
91.7,0.2
90.3,0.2
90.6,0.2
91.1,0.2
90.8,0.2
90.7,0.2
90.4,0.2
91.0,0.2
90.7,0.2
91.3,0.2
90.4,0.2
90.1,0.2
91.4,0.2
89.8,0.2
90.5,0.2
89.9,0.2
91.1,0.2
90.2,0.2
91.7,0.2
91.0,0.2
91.0,0.2
89.5,0.2
90.2,0.2
89.4,0.2
89.8,0.2
90.3,0.2
89.1,0.2
90.9,0.2
90.0,0.2
90.5,0.2
89.7,0.2
89.5,0.2
90.2,0.2
90.0,0.2
100.5,0.2
89.5,0.2
91.0,0.2
90.2,0.2
91.4,0.2
90.2,0.2
89.8,0.2
91.3,0.2
90.1,0.2
90.2,0.2
90.5,0.2
89.9,0.2
91.5,0.2
90.5,0.2
91.1,0.2
90.3,0.2
90.9,0.2
90.2,0.2
90.7,0.2
90.4,0.2
90.7,0.2
90.8,0.2
91.2,0.2
89.8,0.2
90.2,0.2
89.6,0.2
89.3,0.2
90.4,0.2
90.2,0.2
91.0,0.2
91.7,0.2
90.7,0.2
90.8,0.2
91.6,0.2
90.7,0.2
91.3,0.2
91.5,0.2
91.4,0.2
91.5,0.2
90.8,0.2
92.3,0.2
90.1,0.2
91.8,0.2
90.4,0.2
91.6,0.2
90.9,0.2
91.1,0.2
92.0,0.2
91.0,0.2
90.1,0.2
91.4,0.2
90.3,0.2
91.7,0.2
90.1,0.2
91.6,0.2
91.1,0.2
91.5,0.2
90.6,0.2
91.5,0.2
90.7,0.2
91.1,0.2
91.1,0.2
90.9,0.2
90.2,0.2
91.4,0.2
90.2,0.2
96.4,0.2
92.1,0.2
91.4,0.2
89.2,0.2
90.1,0.2
90.5,0.2
