Start  Time: 2024/01/11, 22:45:21.599
Export Time: 2024/01/11, 22:50:08.117
Min  (dBA):   89.5
Max  (dBA):   93.7
Peak (dBA):   98.3
Avg  (dBA):   91.7
TWA  (dBA):   64.7
Dose (%):    0.9

Recorded Value (dBA),Response Time (seconds)
90.1,0.2
89.6,0.2
91.4,0.2
89.7,0.2
90.4,0.2
89.9,0.2
91.0,0.2
90.1,0.2
89.6,0.2
90.0,0.2
90.1,0.2
90.2,0.2
90.0,0.2
89.7,0.2
89.9,0.2
90.8,0.2
90.4,0.2
90.2,0.2
90.5,0.2
90.4,0.2
89.5,0.2
90.4,0.2
90.5,0.2
90.1,0.2
89.9,0.2
90.5,0.2
89.7,0.2
90.8,0.2
90.4,0.2
91.1,0.2
91.2,0.2
91.0,0.2
90.0,0.2
90.3,0.2
90.7,0.2
90.6,0.2
91.7,0.2
91.6,0.2
90.9,0.2
90.7,0.2
91.0,0.2
91.6,0.2
91.0,0.2
91.0,0.2
90.5,0.2
91.6,0.2
91.7,0.2
91.0,0.2
90.5,0.2
91.7,0.2
91.0,0.2
91.3,0.2
91.2,0.2
92.2,0.2
90.8,0.2
90.9,0.2
90.9,0.2
92.4,0.2
91.5,0.2
91.2,0.2
91.1,0.2
92.0,0.2
92.0,0.2
91.9,0.2
91.5,0.2
91.6,0.2
91.4,0.2
91.6,0.2
90.7,0.2
92.5,0.2
91.4,0.2
90.8,0.2
92.5,0.2
90.9,0.2
91.6,0.2
92.2,0.2
91.3,0.2
92.0,0.2
90.8,0.2
92.1,0.2
91.7,0.2
91.2,0.2
91.0,0.2
91.6,0.2
90.6,0.2
91.9,0.2
92.5,0.2
90.6,0.2
91.9,0.2
91.4,0.2
92.2,0.2
91.2,0.2
91.4,0.2
90.9,0.2
92.6,0.2
92.1,0.2
90.7,0.2
91.5,0.2
91.6,0.2
91.0,0.2
91.7,0.2
91.5,0.2
91.2,0.2
91.8,0.2
91.6,0.2
91.4,0.2
91.0,0.2
91.7,0.2
91.5,0.2
91.5,0.2
90.9,0.2
92.2,0.2
91.1,0.2
91.5,0.2
91.2,0.2
91.8,0.2
92.1,0.2
92.3,0.2
91.0,0.2
92.5,0.2
90.5,0.2
91.8,0.2
91.0,0.2
91.8,0.2
91.4,0.2
92.4,0.2
91.3,0.2
92.3,0.2
91.6,0.2
91.7,0.2
91.1,0.2
93.2,0.2
90.9,0.2
91.7,0.2
91.3,0.2
92.2,0.2
92.6,0.2
92.3,0.2
92.2,0.2
90.9,0.2
93.2,0.2
91.9,0.2
91.4,0.2
92.9,0.2
91.1,0.2
92.3,0.2
91.4,0.2
92.4,0.2
90.8,0.2
91.9,0.2
91.1,0.2
91.3,0.2
92.5,0.2
92.0,0.2
91.9,0.2
92.8,0.2
91.4,0.2
91.7,0.2
92.3,0.2
91.3,0.2
92.7,0.2
91.3,0.2
92.4,0.2
91.9,0.2
92.0,0.2
92.0,0.2
91.2,0.2
92.6,0.2
91.5,0.2
92.6,0.2
91.2,0.2
92.6,0.2
91.0,0.2
93.3,0.2
91.4,0.2
91.5,0.2
92.5,0.2
90.7,0.2
92.3,0.2
91.3,0.2
92.8,0.2
91.4,0.2
92.4,0.2
92.4,0.2
91.5,0.2
91.8,0.2
92.3,0.2
91.5,0.2
93.3,0.2
91.3,0.2
91.9,0.2
93.5,0.2
91.2,0.2
91.8,0.2
92.9,0.2
91.6,0.2
92.4,0.2
90.8,0.2
92.6,0.2
91.3,0.2
92.2,0.2
92.3,0.2
91.7,0.2
92.9,0.2
91.1,0.2
92.4,0.2
91.9,0.2
92.5,0.2
92.7,0.2
91.2,0.2
92.7,0.2
91.6,0.2
92.2,0.2
91.3,0.2
93.4,0.2
91.4,0.2
92.3,0.2
91.5,0.2
92.4,0.2
91.6,0.2
92.3,0.2
91.9,0.2
91.6,0.2
92.5,0.2
91.3,0.2
92.3,0.2
92.9,0.2
92.3,0.2
92.5,0.2
92.9,0.2
91.1,0.2
92.4,0.2
91.6,0.2
92.7,0.2
91.3,0.2
93.0,0.2
92.2,0.2
92.8,0.2
90.8,0.2
92.1,0.2
92.0,0.2
91.4,0.2
93.0,0.2
91.3,0.2
93.0,0.2
92.6,0.2
92.1,0.2
93.1,0.2
91.8,0.2
93.6,0.2
92.1,0.2
93.2,0.2
91.6,0.2
92.0,0.2
92.7,0.2
91.6,0.2
93.0,0.2
92.3,0.2
91.6,0.2
92.4,0.2
92.1,0.2
91.9,0.2
92.4,0.2
93.0,0.2
91.7,0.2
91.9,0.2
93.3,0.2
92.1,0.2
92.1,0.2
92.0,0.2
92.4,0.2
91.5,0.2
92.4,0.2
91.9,0.2
91.9,0.2
93.7,0.2
91.7,0.2
92.9,0.2
92.9,0.2
91.7,0.2
92.4,0.2
92.2,0.2
91.5,0.2
92.8,0.2
92.2,0.2
